track_name,artist_name,year,name,playcount,listeners,genres,artist_popularity,album_name,release_date,duration_ms,track_listeners,ranking_year,track_weight_in_artist,true_rank
Save Your Tears,The Weeknd,2020,The Weeknd,1095012174,5233527,"['rnb', 'electronic', 'dubstep', 'Canadian', 'prog-rnb']",1095012174,Hit Connection 2021.1,N/A,216000.0,1819150.0,2020,34.75954170103641,1
Telepatía,Kali Uchis,2020,Kali Uchis,307120156,3011779,"['rnb', 'Neo-Soul', 'soul', 'alternative rnb', 'pop']",307120156,Best in the World,N/A,160000.0,1611327.0,2020,53.500837876882734,2
The Adults Are Talking,The Strokes,2020,The Strokes,472079320,5651179,"['indie rock', 'indie', 'rock', 'alternative', 'alternative rock']",472079320,The New Abnormal,N/A,309000.0,1586456.0,2020,28.073009189763766,3
Heather,Conan Gray,2020,Conan Gray,244693650,2379267,"['pop', 'indie pop', 'indie', 'my top songs', 'yearning']",244693650,Now 35,N/A,198000.0,1491657.0,2020,62.69397255541308,4
Good Days,SZA,2020,SZA,575399022,3438127,"['rnb', 'soul', 'alternative rnb', 'electronic', 'Neo-Soul']",575399022,Hits 8 - as Grandes Músicas do Momento,N/A,278000.0,1481137.0,2020,43.07976406921559,5
Levitating (feat. DaBaby),Dua Lipa,2020,Dua Lipa,314803417,3224232,"['pop', 'synthpop', 'electropop', 'british', 'female vocalists']",314803417,"Now That's What I Call Music, Vol. 77",N/A,203000.0,1236252.0,2020,38.342526220197556,6
positions,Ariana Grande,2020,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,"Now That's What I Call Music, Vol. 77",N/A,172000.0,1222105.0,2020,27.73681791617256,7
Break My Heart,Dua Lipa,2020,Dua Lipa,314803417,3224232,"['pop', 'synthpop', 'electropop', 'british', 'female vocalists']",314803417,Just Hits,N/A,221000.0,1118297.0,2020,34.68413563291971,8
exile (feat. Bon Iver),Taylor Swift,2020,Taylor Swift,3608500687,5863513,"['country', 'pop', 'female vocalists', 'singer-songwriter', 'acoustic']",3608500687,folklore (deluxe version),N/A,285000.0,1058997.0,2020,18.06079393019168,9
Dynamite,BTS,2020,BTS,2967402208,2316882,"['k-pop', 'bts', 'Kpop', 'Korean', 'pop']",2967402208,Dynamite - EP,N/A,199000.0,1038802.0,2020,44.836206591444885,10
In Your Eyes,The Weeknd,2020,The Weeknd,1095012174,5233527,"['rnb', 'electronic', 'dubstep', 'Canadian', 'prog-rnb']",1095012174,NRJ Holiday Hits 2020,N/A,237000.0,1029576.0,2020,19.672698736435297,11
Physical,Dua Lipa,2020,Dua Lipa,314803417,3224232,"['pop', 'synthpop', 'electropop', 'british', 'female vocalists']",314803417,Physical,N/A,193000.0,993793.0,2020,30.822626907741128,12
Therefore I Am,Billie Eilish,2020,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,"Now That's What I Call Music, Vol. 77",N/A,173000.0,983453.0,2020,23.65540213219083,13
Godzilla (feat. Juice WRLD),Eminem,2020,Eminem,561177490,7726026,"['rap', 'Hip-Hop', 'hip hop', 'Eminem', 'pop']",561177490,Discover More Hip Hop,N/A,210000.0,922815.0,2020,11.944238862255965,14
My Future,Billie Eilish,2020,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,Now That's What I Call Music! Vol. 76,N/A,210000.0,915184.0,2020,22.013299613654063,15
Rain on Me (with Ariana Grande),Lady Gaga,2020,Lady Gaga,1011759640,7632370,"['pop', 'dance', 'electronic', 'female vocalists', 'female vocalist']",1011759640,Chromatica (Deluxe),N/A,182000.0,910515.0,2020,11.929649637006591,16
Kyoto,Phoebe Bridgers,2020,Phoebe Bridgers,284452858,2120975,"['singer-songwriter', 'folk', 'indie folk', 'indie', 'indie rock']",284452858,I See You,N/A,184000.0,874874.0,2020,41.248671012152435,17
How You Like That,BLACKPINK,2020,BLACKPINK,305695144,1952307,"['k-pop', 'Kpop', 'pop', 'Korean', 'blackpink']",305695144,How You Like That,N/A,181000.0,870663.0,2020,44.596623379417274,18
Life Is Good (feat. Drake),Future,2020,Future,449794315,3171840,"['Hip-Hop', 'rap', 'trap', 'hip hop', 'atlanta']",449794315,Life Is Good (feat. Drake) - Single,N/A,237000.0,838268.0,2020,26.428445318805487,19
Angels Like You,Miley Cyrus,2020,Miley Cyrus,295900006,4785176,"['pop', 'female vocalists', 'dance', 'Disney', 'guilty pleasure']",295900006,Plastic Hearts [Explicit],N/A,196000.0,838233.0,2020,17.517286720488443,20
No Time to Die,Billie Eilish,2020,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,Everything I Wanted / No Time To Die,N/A,240000.0,831298.0,2020,19.995554929097754,21
pov,Ariana Grande,2020,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,"Now That's What I Call Music, Vol. 79",N/A,195000.0,827374.0,2020,18.778028063525927,22
betty,Taylor Swift,2020,Taylor Swift,3608500687,5863513,"['country', 'pop', 'female vocalists', 'singer-songwriter', 'acoustic']",3608500687,folklore (deluxe version),N/A,294000.0,768511.0,2020,13.10666489525989,23
Laugh Now Cry Later (feat. Lil Durk),Drake,2020,Drake,1128317449,6646671,"['Hip-Hop', 'rap', 'rnb', 'hip hop', 'Canadian']",1128317449,Laugh Now Cry Later (feat. Lil Durk) - Single,N/A,261000.0,733013.0,2020,11.028272649571493,24
Steeeam,Shelly,2020,Shelly,17670519,831141,"['indie pop', 'Lo-Fi', 'bedroom pop', 'dream pop', 'clairo']",17670519,Shelly,N/A,171000.0,727727.0,2020,87.55758649856041,25
Stuck with U (with Justin Bieber),Ariana Grande,2020,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,Stuck With U [Cassette Single],N/A,228000.0,725138.0,2020,16.457686262716816,26
Mood (feat. iann dior),24kGoldn,2020,24kGoldn,23118400,1192618,"['Hip-Hop', 'rap', 'trap', 'pop', 'emo rap']",23118400,Now That's What I Call Music Vol. 83,N/A,140000.0,709901.0,2020,59.52459211583256,27
Blueberry Faygo,Lil Mosey,2020,Lil Mosey,26580607,957234,"['cloud rap', 'rap', 'Hip-Hop', 'lil mosey', 'american']",26580607,Massive Hits,N/A,162000.0,702383.0,2020,73.37631133035391,28
Garden Song,Phoebe Bridgers,2020,Phoebe Bridgers,284452858,2120975,"['singer-songwriter', 'folk', 'indie folk', 'indie', 'indie rock']",284452858,Garden Song,N/A,220000.0,694107.0,2020,32.725845424863564,29
THE SCOTTS,The Scotts,2020,The Scotts,7486458,693530,[],7486458,Love Language,N/A,162000.0,692587.0,2020,99.86402895332573,30
Took Her To The O,King Von,2020,King Von,60194029,985572,"['drill', 'rap', 'Hip-Hop', 'trap', 'hip hop']",60194029,Took Her To The O,N/A,196000.0,680171.0,2020,69.01281692255867,31
Midnight Sky,Miley Cyrus,2020,Miley Cyrus,295900006,4785176,"['pop', 'female vocalists', 'dance', 'Disney', 'guilty pleasure']",295900006,Now That's What I Call Music! Vol. 76,N/A,223000.0,670495.0,2020,14.011919310804869,32
What You Know Bout Love,Pop Smoke,2020,Pop Smoke,133311339,1554776,"['drill', 'rap', 'trap', 'Hip-Hop', 'hip hop']",133311339,"Now That's What I Call Music, Vol. 77",N/A,160000.0,656744.0,2020,42.24042563044452,33
I Want You to Love Me,Fiona Apple,2020,Fiona Apple,176029530,2701393,"['female vocalists', 'singer-songwriter', 'alternative', 'piano', 'indie']",176029530,Fetch the Bolt Cutters,N/A,238000.0,653307.0,2020,24.1840783625337,34
Breathe Deeper,Tame Impala,2020,Tame Impala,399575749,4217192,"['Psychedelic Rock', 'psychedelic', 'indie rock', 'australian', 'rock']",399575749,Calme,N/A,372000.0,650931.0,2020,15.435175823154365,35
Ode to the Mets,The Strokes,2020,The Strokes,472079320,5651179,"['indie rock', 'indie', 'rock', 'alternative', 'alternative rock']",472079320,The New Abnormal,N/A,351000.0,648663.0,2020,11.478365841888923,36
Toosie Slide,Drake,2020,Drake,1128317449,6646671,"['Hip-Hop', 'rap', 'rnb', 'hip hop', 'Canadian']",1128317449,Toosie Slide,N/A,247000.0,640504.0,2020,9.636463125675997,37
WHATS POPPIN,Jack Harlow,2020,Jack Harlow,76846451,1821134,"['rap', 'Hip-Hop', 'trap', 'hip hop', 'pop rap']",76846451,Just Hits,N/A,139000.0,614620.0,2020,33.74930125954488,38
Kings & Queens,Ava Max,2020,Ava Max,65946023,1558463,"['pop', 'electropop', 'female vocalists', 'american', 'USA']",65946023,L'été France Bleu 2021,N/A,162000.0,611215.0,2020,39.219089577359235,39
Roses - Imanbek Remix,SAINt JHN,2020,SAINt JHN,21251630,966598,"['Hip-Hop', 'rap', 'trap', 'rnb', 'electronic']",21251630,N/A,N/A,0.0,596099.0,2020,61.66979447505582,40
ON,BTS,2020,BTS,2967402208,2316882,"['k-pop', 'bts', 'Kpop', 'Korean', 'pop']",2967402208,"BTS, THE BEST",N/A,246000.0,589957.0,2020,25.463402970026095,41
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020,DaBaby,54055455,1466801,"['Hip-Hop', 'rap', 'trap', 'hip hop', 'american']",54055455,"Now That's What I Call Music, Vol. 75",N/A,181000.0,589239.0,2020,40.17170700047246,42
My Oh My (feat. DaBaby),Camila Cabello,2020,Camila Cabello,127125500,2365581,"['pop', 'female vocalists', 'cuba', 'dance', 'cuban']",127125500,N/A,N/A,171000.0,588112.0,2020,24.86120745812551,43
Can I Call You Rose?,Thee Sacred Souls,2020,Thee Sacred Souls,28152730,1162267,"['soul', 'funk', 'rnb', 'United States', 'USA']",28152730,Can I Call You Rose?,N/A,188000.0,586918.0,2020,50.4976911501402,44
Pretty Savage,BLACKPINK,2020,BLACKPINK,305695144,1952307,"['k-pop', 'Kpop', 'pop', 'Korean', 'blackpink']",305695144,THE ALBUM,N/A,202000.0,585805.0,2020,30.005782901971873,45
Ice Cream (with Selena Gomez),BLACKPINK,2020,BLACKPINK,305695144,1952307,"['k-pop', 'Kpop', 'pop', 'Korean', 'blackpink']",305695144,Ice Cream (with Selena Gomez) - Single,N/A,176000.0,559871.0,2020,28.67740575636926,46
Stupid Love,Lady Gaga,2020,Lady Gaga,1011759640,7632370,"['pop', 'dance', 'electronic', 'female vocalists', 'female vocalist']",1011759640,Massive Hits,N/A,193000.0,547623.0,2020,7.175005928695804,47
Falling Apart,Slow Pulp,2020,Slow Pulp,24126376,866493,"['dream pop', 'shoegaze', 'indie rock', 'indie pop', 'Lo-Fi']",24126376,Idaho / Falling Apart,N/A,166000.0,543074.0,2020,62.67494370987418,48
safety net (feat. Ty Dolla $ign),Ariana Grande,2020,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,Positions (Deluxe Edition),N/A,208000.0,503829.0,2020,11.434871172188398,49
Brooklyn Bridge to Chorus,The Strokes,2020,The Strokes,472079320,5651179,"['indie rock', 'indie', 'rock', 'alternative', 'alternative rock']",472079320,The New Abnormal,N/A,234000.0,501427.0,2020,8.872962615411756,50
Bad Decisions,The Strokes,2020,The Strokes,472079320,5651179,"['indie rock', 'indie', 'rock', 'alternative', 'alternative rock']",472079320,The New Abnormal,N/A,286000.0,497607.0,2020,8.80536610148077,51
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,2020,Travis Scott,667663266,3280150,[],667663266,FRANCHISE (feat. Young Thug & M.I.A.),N/A,202000.0,478675.0,2020,14.593082633416154,52
911,Lady Gaga,2020,Lady Gaga,1011759640,7632370,"['pop', 'dance', 'electronic', 'female vocalists', 'female vocalist']",1011759640,Brand New Hits,N/A,172000.0,463949.0,2020,6.078701635271875,53
forever,Charli xcx,2020,Charli xcx,697501352,3704686,"['pop', 'synthpop', 'electronic', 'female vocalists', 'Electroclash']",697501352,Forever,N/A,243000.0,461903.0,2020,12.468074217356072,54
Body,Megan Thee Stallion,2020,Megan Thee Stallion,180442161,2278315,"['rap', 'Hip-Hop', 'trap', 'hip hop', 'american']",180442161,Good News,N/A,171000.0,457738.0,2020,20.091076080348856,55
Blue Hour,TOMORROW X TOGETHER,2020,TOMORROW X TOGETHER,422061318,1201974,"['k-pop', 'Kpop', 'pop', 'Korean', 'txt']",422061318,minisode1 : Blue Hour,N/A,210000.0,457106.0,2020,38.02960796156988,56
love language,Ariana Grande,2020,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,Positions,N/A,179000.0,449167.0,2020,10.194265871552345,57
POPSTAR (feat. Drake),DJ Khaled,2020,DJ Khaled,60411069,2835151,"['Hip-Hop', 'rap', 'hip hop', 'miami', 'djs']",60411069,POPSTAR (feat. Drake) - Single,N/A,200000.0,447605.0,2020,15.78769525855942,58
Let Me Love You Like a Woman,Lana Del Rey,2020,Lana Del Rey,1547583167,5180414,"['indie', 'female vocalists', 'indie pop', 'pop', 'alternative']",1547583167,Sad Girl,N/A,200000.0,442527.0,2020,8.542309552865852,59
Savage Remix (feat. Beyoncé),Megan Thee Stallion,2020,Megan Thee Stallion,180442161,2278315,"['rap', 'Hip-Hop', 'trap', 'hip hop', 'american']",180442161,N/A,N/A,242000.0,442439.0,2020,19.41957104263458,60
Not Shy,ITZY,2020,ITZY,134646433,982061,"['k-pop', 'Kpop', 'Korean', 'pop', 'girl group']",134646433,Not Shy,N/A,177000.0,429346.0,2020,43.71887286023984,61
Intentions (feat. Quavo),Justin Bieber,2020,Justin Bieber,312898754,4706695,"['pop', 'black metal', 'rnb', 'justin bieber', 'Hip-Hop']",312898754,MegaHits Sommer 2020,N/A,212000.0,423835.0,2020,9.004938709646577,62
Wonder,Shawn Mendes,2020,Shawn Mendes,139015463,2672470,"['pop', 'Canadian', 'folk', 'male vocalists', 'acoustic']",139015463,Chilled Acoustic,N/A,172000.0,423754.0,2020,15.85626779720633,63
Girls in the Hood,Megan Thee Stallion,2020,Megan Thee Stallion,180442161,2278315,"['rap', 'Hip-Hop', 'trap', 'hip hop', 'american']",180442161,Girls In The Hood,N/A,154000.0,421088.0,2020,18.482431094910055,64
00:00 (Zero O’Clock),BTS,2020,BTS,2967402208,2316882,"['k-pop', 'bts', 'Kpop', 'Korean', 'pop']",2967402208,N/A,N/A,0.0,416541.0,2020,17.978515953768902,65
You should be sad,Halsey,2020,Halsey,218583046,2774603,"['pop', 'indie pop', 'indie', 'alternative', 'female vocalists']",218583046,Ultimate Party,N/A,205000.0,415075.0,2020,14.959797852161191,66
Smile (with The Weeknd),Juice WRLD,2020,Juice WRLD,510546528,2448007,"['trap', 'rap', 'emo rap', 'Hip-Hop', 'pop']",510546528,Smile (with The Weeknd),N/A,196000.0,405895.0,2020,16.580630692640995,67
Yummy,Justin Bieber,2020,Justin Bieber,312898754,4706695,"['pop', 'black metal', 'rnb', 'justin bieber', 'Hip-Hop']",312898754,Party,N/A,208000.0,404507.0,2020,8.594289623610623,68
MORE,K/DA,2020,K/DA,29900327,813569,"['k-pop', 'pop', 'Korean', 'league of legends', 'Kpop']",29900327,More,N/A,205000.0,404370.0,2020,49.70322123876401,69
Level of Concern,Twenty One Pilots,2020,Twenty One Pilots,419608422,3291476,"['electronic', 'alternative', 'rap', 'indie pop', 'indie']",419608422,Level of Concern,N/A,207000.0,402137.0,2020,12.217527941871671,70
Monster,Red Velvet - IRENE & SEULGI,2020,Red Velvet - IRENE & SEULGI,18589631,500753,"['k-pop', 'Kpop', 'pop', 'Korean', 'red velvet']",18589631,Monster - The 1st Mini Album,N/A,178000.0,400768.0,2020,80.0330701962844,71
MORE & MORE,TWICE,2020,TWICE,488851948,1869503,"['k-pop', 'Kpop', 'Korean', 'pop', 'girl group']",488851948,MORE & MORE,N/A,199000.0,398680.0,2020,21.32545387731392,72
Weak for Your Love,Thee Sacred Souls,2020,Thee Sacred Souls,28152730,1162267,"['soul', 'funk', 'rnb', 'United States', 'USA']",28152730,Can I Call You Rose?,N/A,260000.0,397919.0,2020,34.23645341388855,73
Friends,BTS,2020,BTS,2967402208,2316882,"['k-pop', 'bts', 'Kpop', 'Korean', 'pop']",2967402208,MAP OF THE SOUL : 7,N/A,199000.0,392101.0,2020,16.923649974405254,74
MAGO,GFRIEND,2020,GFRIEND,45705925,601422,[],45705925,回:Walpurgis Night,N/A,221000.0,391052.0,2020,65.02123301109704,75
Natural,Shelly,2020,Shelly,17670519,831141,"['indie pop', 'Lo-Fi', 'bedroom pop', 'dream pop', 'clairo']",17670519,Shelly,N/A,163000.0,388362.0,2020,46.7263677282194,76
Good in Goodbye,Madison Beer,2020,Madison Beer,105326464,1638084,"['pop', 'female vocalists', 'rnb', 'indie', 'my top songs']",105326464,Life Support,N/A,141000.0,385660.0,2020,23.543359192813067,77
Sum 2 Prove,Lil Baby,2020,Lil Baby,165257183,1592233,"['rap', 'Hip-Hop', 'hip hop', 'trap', 'atlanta']",165257183,My Turn (Deluxe / Audio Only),N/A,206000.0,382614.0,2020,24.030025756280647,78
Not PLaying,Playboi Carti,2020,Playboi Carti,765040341,2438179,"['trap', 'cloud rap', 'Hip-Hop', 'rap', 'rage']",765040341,Whole Lotta Red,N/A,130000.0,370805.0,2020,15.208276340662438,79
Party Girl,StaySolidRocky,2020,StaySolidRocky,4133549,431081,"['Hip-Hop', 'rap', 'indie', 'electronic', 'trap']",4133549,NOW That's What I Call Music! 106,N/A,149000.0,368621.0,2020,85.51084366975115,80
west side,Ariana Grande,2020,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,Positions,N/A,132000.0,364667.0,2020,8.276459206890486,81
LA DI DA,Everglow,2020,Everglow,35914985,641505,"['k-pop', 'Korean', 'Kpop', 'pop', 'girl group']",35914985,-77.82X-78.29,N/A,210000.0,361901.0,2020,56.41436933461158,82
Inner Child,BTS,2020,BTS,2967402208,2316882,"['k-pop', 'bts', 'Kpop', 'Korean', 'pop']",2967402208,MAP OF THE SOUL : 7,N/A,233000.0,355570.0,2020,15.34691883315594,83
Telepathy,BTS,2020,BTS,2967402208,2316882,"['k-pop', 'bts', 'Kpop', 'Korean', 'pop']",2967402208,BE,N/A,202000.0,352858.0,2020,15.229864965069433,84
DUN DUN,Everglow,2020,Everglow,35914985,641505,"['k-pop', 'Korean', 'Kpop', 'pop', 'girl group']",35914985,reminiscence - EP,N/A,208000.0,352221.0,2020,54.90541772862254,85
Lonely (with benny blanco),Justin Bieber,2020,Justin Bieber,312898754,4706695,"['pop', 'black metal', 'rnb', 'justin bieber', 'Hip-Hop']",312898754,Lonely (with benny blanco),N/A,149000.0,348358.0,2020,7.401329382932185,86
Rare,Selena Gomez,2020,Selena Gomez,201423254,3130971,"['pop', 'female vocalists', 'Disney', 'pop rock', 'dance']",201423254,Now That's What I Call Music! Vol. 74,N/A,220000.0,347009.0,2020,11.083111277619627,87
Shameika,Fiona Apple,2020,Fiona Apple,176029530,2701393,"['female vocalists', 'singer-songwriter', 'alternative', 'piano', 'indie']",176029530,Fetch the Bolt Cutters,N/A,249000.0,333907.0,2020,12.360548798342188,88
Stay,BTS,2020,BTS,2967402208,2316882,"['k-pop', 'bts', 'Kpop', 'Korean', 'pop']",2967402208,BE,N/A,206000.0,325345.0,2020,14.04236383208122,89
Baby Powder,Jenevieve,2020,Jenevieve,7599204,418300,"['rnb', 'soul', 'USA', 'american', 'cuban']",7599204,Division,N/A,176000.0,323640.0,2020,77.37030839110686,90
Love to Hate Me,BLACKPINK,2020,BLACKPINK,305695144,1952307,"['k-pop', 'Kpop', 'pop', 'Korean', 'blackpink']",305695144,THE ALBUM,N/A,169000.0,323276.0,2020,16.55866623435761,91
Over Now (with The Weeknd),Calvin Harris,2020,Calvin Harris,203633856,4941812,"['electronic', 'dance', 'electro', 'Disco', 'electronica']",203633856,Over Now,N/A,211000.0,307759.0,2020,6.22765495733144,92
Savage Love (Laxed - Siren Beat),Jawsh 685,2020,Jawsh 685,6537046,524076,"['Hip-Hop', 'electronic', 'pop', 'New Zealand', 'bts']",6537046,Now That's What I Call Music Vol. 83,N/A,171000.0,307011.0,2020,58.581388958853296,93
Fly to My Room,BTS,2020,BTS,2967402208,2316882,"['k-pop', 'bts', 'Kpop', 'Korean', 'pop']",2967402208,BE,N/A,222000.0,306395.0,2020,13.224454244972339,94
Take You Dancing,Jason Derulo,2020,Jason Derulo,59804257,3080732,[],59804257,Paradise - Summer Feeling,N/A,190000.0,304248.0,2020,9.875834704219647,95
Diamonds,Sam Smith,2020,Sam Smith,111853937,3049190,"['soul', 'pop', 'british', 'electronic', 'dance']",111853937,Now 35,N/A,213000.0,292893.0,2020,9.605600175784389,96
Seems Like,Thee Sinseers,2020,Thee Sinseers,1991686,310525,"['rnb', 'soul', 'los angeles', 'United States', 'daptone']",1991686,Seems Like,N/A,194000.0,286883.0,2020,92.38644231543354,97
Tap In,Saweetie,2020,Saweetie,18663600,1170381,"['Hip-Hop', 'rap', 'better than selena gomez', 'urban', 'female rapper']",18663600,Just Hits,N/A,139000.0,283789.0,2020,24.24757408057718,98
Holy (feat. Chance the Rapper),Justin Bieber,2020,Justin Bieber,312898754,4706695,"['pop', 'black metal', 'rnb', 'justin bieber', 'Hip-Hop']",312898754,"Now That's What I Call Music, Vol. 77",N/A,212000.0,283559.0,2020,6.02458837889432,99
Yikes,Nicki Minaj,2020,Nicki Minaj,304255046,4699361,"['Hip-Hop', 'rap', 'rnb', 'pop', 'hip hop']",304255046,Poppin,N/A,156000.0,281976.0,2020,6.000305147870104,100
La Difícil,Bad Bunny,2020,Bad Bunny,382878834,2475994,"['Reggaeton', 'trap', 'latin', 'puerto rico', 'trap latino']",382878834,YHLQMDLG,N/A,163000.0,273862.0,2020,11.0606891616054,101
Susie Save Your Love,Allie X,2020,Allie X,40059617,846161,"['synthpop', 'electropop', 'pop', 'Canadian', 'dance-pop']",40059617,N/A,N/A,234000.0,271194.0,2020,32.04992903241818,102
Fairy of Shampoo,TOMORROW X TOGETHER,2020,TOMORROW X TOGETHER,422061318,1201974,"['k-pop', 'Kpop', 'pop', 'Korean', 'txt']",422061318,The Dream Chapter: ETERNITY,N/A,267000.0,269370.0,2020,22.41063450623724,103
"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,2020,Bebe Rexha,37160436,1434248,"['pop', 'female vocalists', 'electronic', 'singer-songwriter', 'alternative']",37160436,"Now That's What I Call Music, Vol. 77",N/A,175000.0,258278.0,2020,18.0079037934862,104
Daisies,Katy Perry,2020,Katy Perry,429941777,7048299,"['pop', 'female vocalists', 'pop rock', 'indie', 'rock']",429941777,"Now That's What I Call Music, Vol. 75",N/A,174000.0,257314.0,2020,3.650724806084418,105
Cuz I Love You,Lizzo,2020,Lizzo,55680048,1729503,"['pop', 'Hip-Hop', 'rnb', 'hip hop', 'rap']",55680048,Tempo (feat. Missy Elliott),N/A,179000.0,253729.0,2020,14.67063081127931,106
What a Man Gotta Do,Jonas Brothers,2020,Jonas Brothers,74618747,2144878,"['pop', 'pop rock', 'Disney', 'rock', 'pop punk']",74618747,Massive Hits,N/A,180000.0,244452.0,2020,11.397011858017098,107
You Never Know,BLACKPINK,2020,BLACKPINK,305695144,1952307,"['k-pop', 'Kpop', 'pop', 'Korean', 'blackpink']",305695144,BLACKPINK: THE SHOW,N/A,229000.0,231579.0,2020,11.861812716954864,108
Bet You Wanna (feat. Cardi B),BLACKPINK,2020,BLACKPINK,305695144,1952307,"['k-pop', 'Kpop', 'pop', 'Korean', 'blackpink']",305695144,THE ALBUM (Japan Version),N/A,159000.0,222411.0,2020,11.392214441683608,109
Ashes,Stellar,2020,Stellar,10304626,465201,"['k-pop', 'pop', 'Korean', 'female vocalists', 'Kpop']",10304626,Ashes,N/A,166000.0,220769.0,2020,47.456690763777374,110
So What,Loona,2020,Loona,111267797,1134537,"['pop', 'dance', 'k-pop', 'latin', 'female vocalists']",111267797,[#] - EP,N/A,198000.0,216324.0,2020,19.067161317788667,111
Criminal,TAEMIN,2020,TAEMIN,50869787,613974,"['k-pop', 'Korean', '태민', 'pop', 'Kpop']",50869787,Never Gonna Dance Again : Act 1,N/A,211000.0,215247.0,2020,35.05799919866314,112
me & ur ghost,blackbear,2020,blackbear,69197574,1751279,"['electronic', 'pop', 'hip hop', 'Hip-Hop', 'rnb']",69197574,Freshly Squeezed Hits,N/A,199000.0,214373.0,2020,12.240939336336472,113
Jesus Christ 2005 God Bless America,The 1975,2020,The 1975,295987777,2613156,"['indie', 'indie rock', 'british', 'alternative', 'rock']",295987777,Notes on a Conditional Form,N/A,238000.0,212274.0,2020,8.123280814463431,114
NONSTOP,OH MY GIRL,2020,OH MY GIRL,22724336,430242,"['k-pop', 'Korean', 'girl group', 'pop', 'Kpop']",22724336,NONSTOP - EP,N/A,203000.0,208634.0,2020,48.49224389994468,115
Spotlight,Jessie Ware,2020,Jessie Ware,54442764,1135612,"['soul', 'pop', 'electronic', 'female vocalists', 'chillout']",54442764,What's Your Pleasure? (The Platinum Pleasure Edition),N/A,331000.0,208264.0,2020,18.339362387857825,116
BOCA,Dreamcatcher,2020,Dreamcatcher,79061004,557395,"['k-pop', 'rock', 'Korean', 'k-rock', 'Kpop']",79061004,Crossroads: Part 2. Dystopia Concert,N/A,0.0,207940.0,2020,37.30568089057132,117
UP NO MORE,TWICE,2020,TWICE,488851948,1869503,"['k-pop', 'Kpop', 'Korean', 'pop', 'girl group']",488851948,Eyes wide open,N/A,214000.0,207884.0,2020,11.119746799015568,118
Skit,BTS,2020,BTS,2967402208,2316882,"['k-pop', 'bts', 'Kpop', 'Korean', 'pop']",2967402208,BE,N/A,180000.0,203359.0,2020,8.777270486800795,119
Dolphin,OH MY GIRL,2020,OH MY GIRL,22724336,430242,"['k-pop', 'Korean', 'girl group', 'pop', 'Kpop']",22724336,NONSTOP - EP,N/A,177000.0,201092.0,2020,46.739276965056874,120
Smile,Katy Perry,2020,Katy Perry,429941777,7048299,"['pop', 'female vocalists', 'pop rock', 'indie', 'rock']",429941777,Tropical House Mix,N/A,166000.0,199976.0,2020,2.8372235627347817,121
To Die For,Sam Smith,2020,Sam Smith,111853937,3049190,"['soul', 'pop', 'british', 'electronic', 'dance']",111853937,Heartbreak,N/A,193000.0,195593.0,2020,6.4145887924334,122
Una Vez,Bad Bunny,2020,Bad Bunny,382878834,2475994,"['Reggaeton', 'trap', 'latin', 'puerto rico', 'trap latino']",382878834,N/A,N/A,232000.0,186686.0,2020,7.539840565041757,123
Wrong Direction,Hailee Steinfeld,2020,Hailee Steinfeld,27261207,1274145,"['pop', 'female vocalists', 'dance', 'teen pop', 'american']",27261207,Car Jams,N/A,249000.0,182219.0,2020,14.301276542308763,124
Hypnotized,Purple Disco Machine,2020,Purple Disco Machine,10516491,582974,"['House', 'electronic', 'deep house', 'Disco', 'C']",10516491,Kontor Top of the Clubs 2020.04,N/A,195000.0,181992.0,2020,31.21785877243239,125
I Love Me,Demi Lovato,2020,Demi Lovato,196681853,3334640,"['pop', 'pop rock', 'female vocalists', 'Disney', 'guilty pleasure']",196681853,Pop At Home,N/A,203000.0,181780.0,2020,5.451263104862894,126
Don't Wanna,HAIM,2020,HAIM,69024418,1524141,"['indie', 'indie pop', 'female vocalists', 'indie rock', 'soul']",69024418,"Women in Music, Pt. III",N/A,201000.0,180649.0,2020,11.852512333176524,127
No Judgement,Niall Horan,2020,Niall Horan,70411861,1296894,"['pop', 'folk', 'irish', 'singer-songwriter', 'male vocalists']",70411861,Melted,N/A,176000.0,176423.0,2020,13.603501905321483,128
Dumhdurum,Apink,2020,Apink,18946135,406750,[],18946135,LOOK,N/A,0.0,173396.0,2020,42.62962507682852,129
